ID,Area,Severity,Status,Finding,Evidence,Impact,Recommendation,Acceptance Test
PRM-002,Citation provenance,P1,FAIL,"OpenAI adapter counts URL annotations but stores only plain text; quality scoring separately parses textual URLs, so counts and preserved provenance can diverge.",llm_provider.py::_text/_citation_count; quality.py,Claims may lose machine-verifiable citation mapping and source counts can be inconsistent.,Persist provider annotations as source objects and link claim IDs to source IDs.,Every cited claim resolves to a stored URL/title/date/span; counts derive from the same objects.
PRM-003,Forecast arithmetic,P1,FAIL,"Schema validates bounds but not anchor+signed deltas, CI containment, list cardinalities, decomposition math or snapshot completeness parity.",schemas.py; llm_provider.py::validate_forecast_output,Structured output can be internally inconsistent while passing validation.,"Add typed base rates, adjustments and decomposition nodes plus deterministic validators.",Invalid arithmetic/cardinality/CI/snapshot outputs are rejected before write.
PRM-004,Evidence quality,P1,PARTIAL,"Research quality grades unique URL domains, not claim support, publication/availability time, duplication, independence or contradiction.",quality.py,A high source count can coexist with weak or irrelevant evidentiary support.,"Introduce claim-level evidence records, source clusters, availability timestamps and entailment checks.",Quality gate fails unsupported material claims and duplicate/syndicated pseudo-independence.
PRM-005,Domain relevance,P1,FAIL,The generic dualdb market/analog/deep-history digest can be injected into unrelated questions such as AAPL quarterly EPS.,base_rates.py::ml_digest_with_meta; AAPL evidence appendix,Irrelevant context can anchor probabilities and consume reasoning budget.,Use domain-specific allowlists and relevance scoring; default to no quant context when no mapping exists.,Earnings prompts exclude market-cycle history unless a registered causal mapping passes a relevance gate.
PRM-006,Ensemble independence,P2,PARTIAL,"KRunMedian repeats the same prompt and evidence without perturbation, role separation, independent retrieval or seeded diversity.",aggregator.py::KRunMedian,Multiple runs may measure sampling noise rather than independent judgment.,Use evidence-split or model/prompt-role challengers and track run correlation.,Ensemble adds skill or calibration in frozen backtests and has bounded pairwise correlation.
GOV-001,Provider identity governance,P1,FAIL,"DECISIONS says dated snapshots only, while code accepts explicit tier slugs as snapshot identities.",docs/DECISIONS.md §10-2; llm_provider.py::require_dated_openai_snapshot,The immutable provider contract is ambiguous and may not represent a reproducible model binary.,"Choose one policy, record provider-returned model/version metadata, and add a contract test.","Docs, config, runtime guard and stored forecast identity agree exactly."
CAL-001,Calibration/skill,P1,BLOCKED,Ledger has six rows but only three unique resolved questions; four rows are revisions of one FOMC question.,calibration/ledger.csv,"Brier mean is descriptive, not evidence of generalized calibration or domain skill.",Evaluate first forecast per question and revision policy separately; accumulate preregistered OOS samples.,"Promotion gates use unique questions, domain stratification, baseline comparison and confidence intervals."
OPS-001,Forecast operations,P2,PARTIAL,"34 questions are active, 22 have no forecast record, and AMD Q2 is still active after its 2026-08-04 deadline.",questions/registry.yaml; forecasts/,"Registry and execution cadence can drift, weakening the forward-test ledger.","Add due-state automation, expiry/hold rules and coverage SLA dashboards.",No active fixed-deadline item remains overdue; missing forecasts are explicitly held/blocked with reason.
DATA-002,Data provenance bundle,P1,BLOCKED,"Full SQLite and raw/source datasets are excluded, so exact k-NN neighbors and correction-episode sample cannot be independently reconstructed.",MANIFEST_SUMMARY.json; context payload schema,The package explains outputs but does not fully prove their underlying historical sample.,Include immutable raw manifests/URLs/hashes and a deterministic rebuild recipe or a sealed data pack.,"Clean rebuild reproduces neighbor rows, derived features, episodes and context hash exactly."
PRM-007,Question gate,P1,FAIL,"The prompt says ambiguous questions should be rewritten and confirmed, but question_check is free text with no blocking field; the AAPL forecast recorded known EPS-definition/provider ambiguity.",reasoning_core_v1.md [0]; schemas.py::ForecastResult; AAPL r1,A forecast can become official even when the model itself says the resolution contract is ambiguous.,Add a typed QuestionGateResult with proceed/hold and deterministic registry/snapshot checks before research and before write.,A materially ambiguous resolution or missing mandatory snapshot definition returns HOLD and produces no official revision.
PRM-008,Research write gate,P1,PARTIAL,research_status=degraded is recorded but does not block an official forecast; AAPL r1 was written as degraded.,orchestrator.py::_research_status and write path; AAPL r1,Low-evidence outputs can enter the official forward-test ledger and contaminate calibration.,Introduce domain-specific minimum evidence gates and a held/degraded shadow-only state.,Official write requires required source/claim coverage; degraded runs remain scratch/shadow with costs logged.
PRM-009,Research/judgment separation,P2,PARTIAL,"Research agents are not prohibited from giving probabilities; the AAPL devil brief states YES 48% / NO 52%, which can anchor the final reasoner.",profiles.py; AAPL evidence appendix,The final forecast is not cleanly separated from upstream model opinions.,Make research output claim-only and reject probability/target language outside the judgment stage.,Research schema contains no forecast probability field and a validator rejects probability recommendations.
DATA-003,Benchmark units,P2,FAIL,"Two benchmark rows store market probabilities as 22.0 and 5.0 instead of fractions, producing impossible Brier values 484 and 25; sync quarantines them.",calibration/benchmark_ledger.csv; sync --check,Benchmark comparison coverage is reduced and direct CSV consumers may misread corrupted values.,"Append corrected, unit-explicit records or a correction map; add semantic range checks at ingestion and ledger audit.","All probability columns carry a declared unit and satisfy [0,1]; corrected rows supersede bad rows without silent history edits."
